# RefractiveIndex.INFO C/Hagemann; Hagemann, Gudat, Kunz, JOSA 65, 742-744 (1975); DESY SR-74/7 (1974)
# https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data/main/C/nk/Hagemann.yml
# energy_eV,wavelength_um,n,k
0.00999872567742,124,5.303,19.2
0.0149992981369,82.66,7.489,13.1
0.0200006772705,61.99,7.115,12.4
0.0250018548901,49.59,4.997,11.2
0.0299985962739,41.33,4.054,9.31
0.0399949027097,31,3.472,6.86
0.0600117126815,20.66,3.159,4.65
0.0799898054194,15.5,2.932,3.56
0.0999872567742,12.4,2.87,2.79
0.200006772705,6.199,3,1.51
0.299985962739,4.133,2.949,1.29
0.399949027097,3.1,2.831,1.22
0.499936283871,2.48,2.698,1.18
0.999872567742,1.24,2.204,1.04
1.49992981369,0.8266,1.974,0.816
2.00006772705,0.6199,1.879,0.739
2.50018548901,0.4959,1.807,0.696
2.99985962739,0.4133,1.752,0.678
3.50040085827,0.3542,1.706,0.681
3.99949027097,0.31,1.638,0.723
4.50033388022,0.2755,1.518,0.764
4.99936283871,0.248,1.344,0.754
5.50062992014,0.2254,1.195,0.61
6.00117126815,0.2066,1.158,0.415
6.50153111694,0.1907,1.196,0.28
7.00080171654,0.1771,1.28,0.158
7.50055646703,0.1653,1.399,0.101
7.99898054194,0.155,1.531,0.0869
8.49788885538,0.1459,1.649,0.144
8.99740191582,0.1378,1.736,0.223
9.50070485824,0.1305,1.791,0.334
9.99872567742,0.124,1.811,0.449
10.4982386452,0.1181,1.785,0.582
11.0012598403,0.1127,1.723,0.669
11.5013171058,0.1078,1.663,0.73
12.0023425363,0.1033,1.608,0.786
12.4996671439,0.09919,1.542,0.851
13.0003353675,0.09537,1.463,0.894
13.5000216028,0.09184,1.378,0.934
14.0000224029,0.08856,1.284,0.956
14.4993800023,0.08551,1.191,0.96
14.9992981369,0.08266,1.099,0.955
15.4999622953,0.07999,1.005,0.938
16.0000256033,0.07749,0.908,0.903
18.0000288037,0.06888,0.733,0.631
20.0006772705,0.06199,0.707,0.451
21.9986157559,0.05636,0.735,0.314
24.000038405,0.05166,0.772,0.255
25.9979447264,0.04769,0.794,0.207
28.0000448058,0.04428,0.816,0.166
29.9985962739,0.04133,0.837,0.14
31.9959221677,0.03875,0.857,0.118
33.9962156293,0.03647,0.873,0.109
36.0000576074,0.03444,0.879,0.102
37.9969961385,0.03263,0.883,0.086
39.9949027097,0.031,0.893,0.073
42.0000672087,0.02952,0.904,0.065
43.9972315117,0.02818,0.911,0.063
46.005268423,0.02695,0.914,0.058
49.9936283871,0.0248,0.922,0.045
55.0062992014,0.02254,0.932,0.035
60.0117126815,0.02066,0.94,0.027
65.0153111694,0.01907,0.948,0.02
70.0080171654,0.01771,0.955,0.015
75.0055646703,0.01653,0.961,0.0121
79.9898054194,0.0155,0.966,0.0102
84.9788885538,0.01459,0.97,0.00858
89.9740191582,0.01378,0.973,0.00725
95.0070485824,0.01305,0.976,0.00613
99.9872567742,0.0124,0.978,0.00519
110.012598403,0.01127,0.982,0.00377
120.023425363,0.01033,0.985,0.00282
130.003353675,0.009537,0.987,0.00235
140.000224029,0.008856,0.989,0.00193
160.000256033,0.007749,0.992,0.00121
180.000288037,0.006888,0.994,0.000848
200.006772705,0.006199,0.995,0.000585
250.018548901,0.004959,0.998,0.000272
270.000432056,0.004592,0.999,0.000206
290.021516725,0.004275,1.001,0.000794
299.985962739,0.004133,1.002,0.00354
310.038005501,0.003999,0.999,0.00497
319.959221677,0.003875,0.998,0.00368
330.008513175,0.003757,0.998,0.00277
339.962156293,0.003647,0.998,0.00236
350.040085827,0.003542,0.998,0.00213
450.033388022,0.002755,0.998,0.000839
499.936283871,0.00248,0.999,0.000569
600.117126815,0.002066,0.999,0.000332
799.898054194,0.00155,0.999,9.85e-05
999.872567742,0.00124,1,4.22e-05
1499.92981369,0.0008266,1,8.62e-06
2000.06772705,0.0006199,1,2.41e-06
2999.85962739,0.0004133,1,4.48e-07
4999.36283871,0.000248,1,5.38e-08
7000.80171654,0.0001771,1,1.34e-08
8997.40191582,0.0001378,1,5e-09
14999.2981369,8.266e-05,1,7.2e-10
20000.6772705,6.199e-05,1,2.17e-10
29998.5962739,4.133e-05,1,3.29e-11
